,Gastrocnemius,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius
27369,0.045643352,0.80098677,0.108125344,0.46097592,0.6748357,0.43353832,0.42765912,0.24054876,0.33644655,0.4180049
27370,0.032572236,0.6883691,0.08647885,0.40357402,0.58738035,0.35340625,0.280684,0.17240514,0.25702837,0.32065028
27371,0.043443114,0.47390416,0.08997276,0.5344342,0.54355377,0.42872372,0.27019304,0.24251413,0.2283513,0.4654561
27372,0.060071383,0.6582896,0.14244422,0.7212632,0.6859009,0.6385263,0.4632021,0.4491592,0.31699845,0.62665784
27373,0.08648447,0.7679257,0.1694284,0.80726266,0.7527767,0.7494839,0.45901445,0.5734571,0.44563612,0.7045737
27374,0.088608,0.73535657,0.17820795,0.8803229,0.79757214,0.8547262,0.41662943,0.6060345,0.42909822,0.8082245
27375,0.08894386,0.6336544,0.16674367,0.88810986,0.8034626,0.8805752,0.3677695,0.53839666,0.37598825,0.84512365
27376,0.08705087,0.51882964,0.17573619,0.86323935,0.7820404,0.8693524,0.29297048,0.46084934,0.33389145,0.80993336
27377,0.0865664,0.4279604,0.16599639,0.80371296,0.72747576,0.82449967,0.24700877,0.4174587,0.31015098,0.753626
27378,0.12436892,0.3680501,0.1528255,0.71394026,0.6361576,0.7430379,0.22540893,0.3737938,0.2687073,0.66273373
27379,0.13662963,0.29816487,0.15220565,0.64521265,0.57885236,0.67515355,0.19871111,0.34478778,0.24064146,0.6057236
27380,0.15738252,0.2233712,0.15673642,0.55451643,0.48674497,0.578895,0.16085023,0.31771263,0.21366882,0.5173709
27381,0.1796315,0.18886799,0.17182647,0.43971124,0.39996377,0.48775336,0.15562308,0.27770793,0.20384304,0.42811555
27382,0.17926335,0.168983,0.17274949,0.33153614,0.33616564,0.3989375,0.14670669,0.22098291,0.20342901,0.3833611
27383,0.18422969,0.16779876,0.18124223,0.25821227,0.29858404,0.330177,0.12877105,0.17156117,0.20071921,0.3632268
27384,0.1929088,0.17652254,0.18596199,0.20209841,0.2578452,0.27128482,0.11728296,0.13983788,0.20746419,0.34684038
27385,0.20081328,0.19815864,0.19334191,0.16652055,0.22201578,0.22860849,0.11619688,0.12093467,0.23460135,0.3476555
27386,0.21554373,0.2176295,0.20311779,0.12629451,0.1772538,0.17848691,0.124345094,0.1130849,0.28637627,0.33352575
27387,0.23406781,0.23053984,0.204618,0.095134564,0.14324826,0.14354622,0.13935532,0.117081344,0.37193224,0.316807
27388,0.24897848,0.23449542,0.21086717,0.077818565,0.118038364,0.12588577,0.15792798,0.1206327,0.39365515,0.28467205
27389,0.25429872,0.21977198,0.20040798,0.06094914,0.09214037,0.10638395,0.16267836,0.11079126,0.38398868,0.23952745
27390,0.28848833,0.20734204,0.19511126,0.06033297,0.08933297,0.10254264,0.16243185,0.11344312,0.34449592,0.2257498
27391,0.33131644,0.19771308,0.19066271,0.05318074,0.08030713,0.088586554,0.1529512,0.10997467,0.28589416,0.21264243
27392,0.36027986,0.19959754,0.18916999,0.050645735,0.073716894,0.07913631,0.16070938,0.10897788,0.22084859,0.19847116
27393,0.37759328,0.19231117,0.187805,0.047724817,0.066373825,0.06980542,0.17327833,0.10967687,0.16466002,0.18304086
27394,0.38877293,0.1760895,0.18762231,0.044514704,0.058961343,0.061857414,0.18082362,0.11239562,0.12526008,0.16778874
27395,0.39930585,0.15547712,0.1947283,0.043622002,0.056116987,0.058273967,0.17904362,0.113502204,0.0972679,0.15977289
27396,0.40812227,0.13876125,0.21536359,0.045479666,0.057758104,0.057321507,0.16614844,0.109946415,0.07680365,0.15881772
27397,0.40976784,0.13134448,0.24859744,0.048711274,0.061913222,0.058420785,0.1474148,0.10596112,0.06510902,0.15788803
27398,0.40678725,0.1331173,0.28407288,0.053466205,0.06905804,0.063150175,0.12988544,0.10385309,0.06160283,0.16316438
27399,0.41042665,0.13648406,0.31956816,0.058350742,0.0763293,0.07142513,0.10783563,0.09369649,0.06415621,0.17420796
27400,0.43029556,0.13981579,0.3643388,0.062984094,0.07973147,0.07715842,0.08984442,0.08115276,0.06545002,0.18598033
27401,0.4751793,0.13890535,0.41573188,0.06568878,0.0794084,0.08008914,0.08018972,0.07324048,0.066112675,0.19544359
27402,0.5426028,0.1360116,0.46239692,0.06465765,0.07518864,0.0789341,0.07589128,0.06992329,0.0657511,0.19660002
27403,0.6147813,0.13559948,0.5066445,0.062777475,0.07155688,0.07522578,0.07595655,0.07109546,0.06386379,0.18890372
27404,0.6845709,0.13957499,0.5596061,0.06327417,0.07094412,0.072043896,0.0799817,0.07618015,0.06276783,0.17640288
27405,0.76706725,0.14198746,0.628808,0.06387772,0.07018978,0.06881151,0.083952196,0.081908084,0.06396264,0.16277541
27406,0.8427548,0.14729059,0.70590764,0.061424717,0.06749447,0.06561814,0.08745292,0.08588274,0.067477874,0.14366291
27407,0.89408267,0.16282566,0.77983284,0.06077498,0.06627969,0.06518744,0.09772041,0.094686344,0.0720069,0.11784835
27408,0.9156499,0.17101052,0.84307444,0.063566126,0.07119218,0.062266897,0.10024771,0.097203694,0.07940425,0.097864285
27409,0.9144625,0.17677166,0.8909844,0.06667033,0.07984535,0.0648544,0.10113606,0.09888475,0.090201825,0.0831203
27410,0.8857874,0.18071136,0.9192799,0.072719455,0.09501325,0.073774725,0.10864563,0.105415106,0.1004123,0.07455388
27411,0.82991976,0.17877355,0.9265158,0.0747409,0.10832016,0.07986268,0.11220717,0.108327076,0.11207986,0.06564482
27412,0.7471579,0.17892317,0.92199856,0.076889426,0.12226103,0.08789202,0.11249347,0.10761152,0.13311888,0.055232745
27413,0.6387488,0.17481425,0.9024517,0.07306684,0.1322061,0.09438168,0.108387806,0.099271305,0.16093487,0.04455023
27414,0.52193516,0.1697913,0.8542914,0.06961886,0.14660387,0.10414186,0.10658997,0.08743371,0.20141485,0.03800275
27415,0.4148708,0.15861635,0.7761458,0.07087188,0.16748749,0.117638424,0.10726081,0.0809088,0.24470374,0.03887859
